"Timestamp","EmployeeID","UPN","Status","Enabled","Groups","SeededNote"
"2026-07-07T04:40:35.9082601+01:00","MC1013","julia.rossi@Simedelonneynjebagmail.onmicrosoft.com","Terminated","True","APP-Billing-Users","SEEDED: orphaned account - still enabled in directory"
"2026-07-07T04:40:38.1622453+01:00","MC1014","ethan.tanaka@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-Billing-Users",""
"2026-07-07T04:40:40.3714880+01:00","MC1015","fatima.brown@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-Finance-Users",""
"2026-07-07T04:40:43.3822228+01:00","MC1016","noah.kowalski@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-Finance-Users; APP-Billing-Users","SEEDED: privilege creep - former Billing, retains APP-Billing-Users"
"2026-07-07T04:40:45.9360034+01:00","MC1017","ingrid.nguyen@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-Finance-Users",""
"2026-07-07T04:40:48.1725595+01:00","MC1018","carlos.garcia@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-AdminPortal-Users",""
"2026-07-07T04:40:50.4122764+01:00","MC1019","yuki.smith@Simedelonneynjebagmail.onmicrosoft.com","Terminated","True","APP-AdminPortal-Users","SEEDED: orphaned account - still enabled in directory"
"2026-07-07T04:40:53.4923366+01:00","MC1020","liam.petrov@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-AdminPortal-Users; IT-Admins","SEEDED: privilege creep - former SysAdmin, retains IT-Admins membership"
"2026-07-07T04:40:56.6920235+01:00","MC1021","amara.lindqvist@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-AdminPortal-Users; IT-Admins",""
"2026-07-07T04:40:59.8142251+01:00","MC1022","peter.mensah@Simedelonneynjebagmail.onmicrosoft.com","Terminated","True","APP-AdminPortal-Users; IT-Admins","SEEDED: CRITICAL - terminated but retains privileged IT-Admins membership"
"2026-07-07T04:41:02.2588799+01:00","MC1023","sofia.costa@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-HRIS-Users",""
"2026-07-07T04:41:04.5053238+01:00","MC1024","david.yamamoto@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-HRIS-Users",""
"2026-07-07T04:41:07.4903554+01:00","MC1025","nadia.ali@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-HRIS-Users; APP-Scheduling-Users","SEEDED: privilege creep - former Receptionist, retains APP-Scheduling-Users"
"2026-07-07T04:41:09.8178365+01:00","MC1026","marco.schmidt@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-Scheduling-Users",""
"2026-07-07T04:41:12.2921336+01:00","MC1027","chloe.ortega@Simedelonneynjebagmail.onmicrosoft.com","Terminated","True","APP-Scheduling-Users","SEEDED: orphaned account - still enabled in directory"
"2026-07-07T04:41:14.9404769+01:00","MC1028","ivan.ivanova@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-Scheduling-Users",""
"2026-07-07T04:41:17.2934780+01:00","MC1029","leila.moreau@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-Scheduling-Users",""
"2026-07-07T04:41:21.0122139+01:00","MC1030","ryan.walsh@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-Scheduling-Users; APP-HRIS-Users","SEEDED: privilege creep - former HR temp cover, retains APP-HRIS-Users"
"2026-07-07T04:41:24.5419109+01:00","MC1031","grace.berg@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-EHR-Users; APP-Scheduling-Users",""
"2026-07-07T04:41:27.7302457+01:00","MC1032","samuel.owusu@Simedelonneynjebagmail.onmicrosoft.com","Terminated","True","APP-EHR-Users; APP-Scheduling-Users","SEEDED: orphaned account - still enabled in directory"
"2026-07-07T04:41:29.9809815+01:00","MC1033","anya.ferrari@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-Billing-Users",""
"2026-07-07T04:41:32.3425080+01:00","MC1034","victor.sato@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-AdminPortal-Users","SEEDED: data hygiene - missing department attribute"
"2026-07-07T04:41:34.6190068+01:00","MC1035","zara.khan@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-HRIS-Users",""
"2026-07-07T04:41:37.0101618+01:00","MC1036","oliver.weber@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-Scheduling-Users",""
"2026-07-07T04:41:40.3177156+01:00","MC1037","ines.ramos@Simedelonneynjebagmail.onmicrosoft.com","Terminated","True","APP-EHR-Users; APP-Scheduling-Users","SEEDED: orphaned account - still enabled in directory"
"2026-07-07T04:41:42.6215562+01:00","MC1038","felix.volkov@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-Finance-Users","SEEDED: data hygiene - missing department attribute"
"2026-07-07T04:41:45.6102983+01:00","MC1039","maya.laurent@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-AdminPortal-Users; IT-Admins",""
"2026-07-07T04:41:48.5801571+01:00","MC1040","hugo.doyle@Simedelonneynjebagmail.onmicrosoft.com","Active","True","APP-EHR-Users; APP-Scheduling-Users","SEEDED: data hygiene - missing department attribute"
